State,POA,1970,1985,1995,2009
Alabama ,AL,"3,444","3,973","4,297","4,709"
Alaska ,AK,303,532,604,698
Arizona ,AZ,"1,775","3,184","4,432","6,596"
Arkansas ,AR,"1,923","2,327","2,535","2,889"
California ,CA,"19,971","26,441","31,697","36,962"
Colorado ,CO,"2,210","3,209","3,827","5,025"
Connecticut ,CT,"3,032","3,201","3,324","3,518"
Delaware ,DE,548,618,730,885
District of Columbia ,DC,757,635,581,600
Florida ,FL,"6,791","11,351","14,538","18,538"
Georgia ,GA,"4,588","5,963","7,328","9,829"
Hawaii ,HI,770,"1,040","1,197","1,295"
Idaho ,ID,713,994,"1,177","1,546"
Illinois ,IL,"11,110","11,400","12,008","12,910"
Indiana ,IN,"5,195","5,459","5,851","6,423"
Iowa ,IA,"2,825","2,830","2,867","3,008"
Kansas ,KS,"2,249","2,427","2,601","2,819"
Kentucky ,KY,"3,221","3,695","3,887","4,314"
Louisiana ,LA,"3,645","4,408","4,379","4,492"
Maine ,ME,994,"1,163","1,243","1,318"
Maryland ,MD,"3,924","4,413","5,070","5,699"
Massachusetts ,MA,"5,689","5,881","6,141","6,594"
Michigan ,MI,"8,882","9,076","9,676","9,970"
Minnesota ,MN,"3,806","4,184","4,660","5,266"
Mississippi ,MS,"2,217","2,588","2,723","2,952"
Missouri ,MO,"4,678","5,000","5,378","5,988"
Montana ,MT,694,822,877,975
Nebraska ,NE,"1,485","1,585","1,657","1,797"
Nevada ,NV,489,951,"1,582","2,643"
New Hampshire ,NH,738,997,"1,158","1,325"
New Jersey ,NJ,"7,171","7,566","8,083","8,708"
New Mexico ,NM,"1,017","1,438","1,720","2,010"
New York ,NY,"18,241","17,792","18,524","19,541"
North Carolina ,NC,"5,084","6,254","7,345","9,381"
North Dakota ,ND,618,677,648,647
Ohio ,OH,"10,657","10,735","11,203","11,543"
Oklahoma ,OK,"2,559","3,271","3,308","3,687"
Oregon ,OR,"2,092","2,673","3,184","3,826"
Pennsylvania ,PA,"11,801","11,771","12,198","12,605"
Rhode Island ,RI,950,969,"1,017","1,053"
South Carolina ,SC,"2,591","3,303","3,749","4,561"
South Dakota ,SD,666,698,738,812
Tennessee ,TN,"3,926","4,715","5,327","6,296"
Texas ,TX,"11,199","16,273","18,959","24,782"
Utah ,UT,"1,059","1,643","2,014","2,785"
Vermont ,VT,445,530,589,622
Virginia ,VA,"4,651","5,715","6,671","7,883"
Washington ,WA,"3,413","4,400","5,481","6,664"
West Virginia ,WV,"1,744","1,907","1,824","1,820"
Wisconsin ,WI,"4,418","4,748","5,185","5,655"
Wyoming ,WY,332,500,485,544
